ID,"Oznaczenie lokalu","Cena [PLN]","Cena za m² [PLN]","Data aktualizacji","Cena przed zmianą [PLN]","Cena za m² przed zmianą [PLN]","Nazwa dewelopera","Forma prawna dewelopera","Nr NIP","Nr REGON","Nr telefonu","Adres poczty elektronicznej","Adres strony internetowej dewelopera","Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera","Województwo adresu lokalu, w którym prowadzona jest sprzedaż","Powiat adresu lokalu, w którym prowadzona jest sprzedaż","Gmina adresu lokalu, w którym prowadzona jest sprzedaż","Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż","Ulica adresu lokalu, w którym prowadzona jest sprzedaż","Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż","Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż","Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż","Sposób kontaktu nabywcy z deweloperem"
10856,"Mieszkanie 9/M3/6C",363771.00,7290.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
10872,"Mieszkanie 2/M3a/6B",415695.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
10886,"Mieszkanie 3/M3b/6B",450898.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
10896,"Mieszkanie 4/M2/6B",340032.00,7590.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
10910,"Mieszkanie 5/M2/6B",340032.00,7590.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
10920,"Mieszkanie 6/M2a/6B",356524.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
10934,"Mieszkanie 7/M3c/6B",430675.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
10948,"Mieszkanie 8/M3d/6B",456890.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
10962,"Mieszkanie 9/M4/6B",561750.00,7490.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
11012,"Mieszkanie 10/M3/6B",378741.00,7590.00,"2025-09-05 19:11:50",,,"Arkadia Park","indywidualna działalność gospodarcza",9251833765,080011636,"+48 532 11 00 44",sprzedaz@arkadiapark.pl,https://arkadiapark.pl/,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,lubuskie,nowosolski,"Nowa Sól","Nowa Sól",Fredry,1,U2,67-100,"formularz, telefoniczny, e-mail"
